RunNo,FileName,Initialization.Ride_Height.RideHeight_FL_Garage_[mm],Initialization.Ride_Height.RideHeight_FR_Garage_[mm],Initialization.Ride_Height.RideHeight_RR_Garage_[mm],General_Parameters.Overall_Grip_[%],Spring.FL.Spring_Force_Gradient_[N/mm],Spring.RL.Spring_Force_Gradient_[N/mm],Anti_Roll_Bar.Front.Characteristics_Linear.ARB_Stiffness_[N/mm],Anti_Roll_Bar.Rear.Chararcteristics_Linear.ARB_Stiffness_[N/mm],General_Parameters.Rear_Wing_Position_[deg]
1,GT3_SimJob_8x2_V2_Run00001,55,55,60,100,180,200,19,46,0
2,GT3_SimJob_8x2_V2_Run00002,65,65,60,100,180,200,19,46,0
3,GT3_SimJob_8x2_V2_Run00003,55,55,70,100,180,200,19,46,0
4,GT3_SimJob_8x2_V2_Run00004,65,65,70,100,180,200,19,46,0
5,GT3_SimJob_8x2_V2_Run00005,55,55,60,105,180,200,19,46,0
6,GT3_SimJob_8x2_V2_Run00006,65,65,60,105,180,200,19,46,0
7,GT3_SimJob_8x2_V2_Run00007,55,55,70,105,180,200,19,46,0
8,GT3_SimJob_8x2_V2_Run00008,65,65,70,105,180,200,19,46,0
9,GT3_SimJob_8x2_V2_Run00009,55,55,60,100,240,200,19,46,0
10,GT3_SimJob_8x2_V2_Run00010,65,65,60,100,240,200,19,46,0
11,GT3_SimJob_8x2_V2_Run00011,55,55,70,100,240,200,19,46,0
12,GT3_SimJob_8x2_V2_Run00012,65,65,70,100,240,200,19,46,0
13,GT3_SimJob_8x2_V2_Run00013,55,55,60,105,240,200,19,46,0
14,GT3_SimJob_8x2_V2_Run00014,65,65,60,105,240,200,19,46,0
15,GT3_SimJob_8x2_V2_Run00015,55,55,70,105,240,200,19,46,0
16,GT3_SimJob_8x2_V2_Run00016,65,65,70,105,240,200,19,46,0
17,GT3_SimJob_8x2_V2_Run00017,55,55,60,100,180,260,19,46,0
18,GT3_SimJob_8x2_V2_Run00018,65,65,60,100,180,260,19,46,0
19,GT3_SimJob_8x2_V2_Run00019,55,55,70,100,180,260,19,46,0
20,GT3_SimJob_8x2_V2_Run00020,65,65,70,100,180,260,19,46,0
21,GT3_SimJob_8x2_V2_Run00021,55,55,60,105,180,260,19,46,0
22,GT3_SimJob_8x2_V2_Run00022,65,65,60,105,180,260,19,46,0
23,GT3_SimJob_8x2_V2_Run00023,55,55,70,105,180,260,19,46,0
