RunNo;LapTime;SimulationSetupFrontLeftSpring;SimulationSetupFrontRightSpring;SimulationSetupFrontLeftBumpStop;SimulationSetupFrontRightBumpStop;VehicleFrontWingPosition;VehicleRearWingPosition;VehicleInitializationRideHeightFLStatic;VehicleInitializationRideHeightFRStatic;VehicleInitializationRideHeightRRStatic;VehicleInitializationBumpstopFLStatic;VehicleInitializationBumpstopFRStatic
1;110.2234;1;1;1;1;22;24.5;19;19;50;2;2
2;110.2273;2;2;1;1;22;24.5;19;19;50;2;2
3;110.2338;1;1;2;2;22;24.5;19;19;50;2;2
4;110.2361;2;2;2;2;22;24.5;19;19;50;2;2
5;110.261;1;1;1;1;24;24.5;19;19;50;2;2
6;110.2632;2;2;1;1;24;24.5;19;19;50;2;2
7;110.2698;1;1;2;2;24;24.5;19;19;50;2;2
8;110.2702;2;2;2;2;24;24.5;19;19;50;2;2
9;110.3033;1;1;1;1;26;24.5;19;19;50;2;2
10;110.3048;2;2;1;1;26;24.5;19;19;50;2;2
11;110.3111;1;1;2;2;26;24.5;19;19;50;2;2
12;110.3131;2;2;2;2;26;24.5;19;19;50;2;2
13;110.3374;1;1;1;1;28;24.5;19;19;50;2;2
14;110.3419;2;2;1;1;28;24.5;19;19;50;2;2
15;110.3407;1;1;2;2;28;24.5;19;19;50;2;2
16;110.3443;2;2;2;2;28;24.5;19;19;50;2;2
17;110.1786;1;1;1;1;22;27;19;19;50;2;2
18;110.1821;2;2;1;1;22;27;19;19;50;2;2
19;110.1909;1;1;2;2;22;27;19;19;50;2;2
20;110.1931;2;2;2;2;22;27;19;19;50;2;2
21;110.2034;1;1;1;1;24;27;19;19;50;2;2
22;110.2074;2;2;1;1;24;27;19;19;50;2;2
23;110.2179;1;1;2;2;24;27;19;19;50;2;2
24;110.2187;2;2;2;2;24;27;19;19;50;2;2
25;110.2429;1;1;1;1;26;27;19;19;50;2;2
26;110.2453;2;2;1;1;26;27;19;19;50;2;2
27;110.2567;1;1;2;2;26;27;19;19;50;2;2
28;110.2578;2;2;2;2;26;27;19;19;50;2;2
29;110.2844;1;1;1;1;28;27;19;19;50;2;2
30;110.2863;2;2;1;1;28;27;19;19;50;2;2
31;110.294;1;1;2;2;28;27;19;19;50;2;2
32;110.2965;2;2;2;2;28;27;19;19;50;2;2
33;110.1585;1;1;1;1;22;29.5;19;19;50;2;2
34;110.1628;2;2;1;1;22;29.5;19;19;50;2;2
35;110.1711;1;1;2;2;22;29.5;19;19;50;2;2
36;110.1731;2;2;2;2;22;29.5;19;19;50;2;2
37;110.1832;1;1;1;1;24;29.5;19;19;50;2;2
38;110.1882;2;2;1;1;24;29.5;19;19;50;2;2
39;110.1966;1;1;2;2;24;29.5;19;19;50;2;2
40;110.1997;2;2;2;2;24;29.5;19;19;50;2;2
41;110.2147;1;1;1;1;26;29.5;19;19;50;2;2
42;110.2174;2;2;1;1;26;29.5;19;19;50;2;2
43;110.2294;1;1;2;2;26;29.5;19;19;50;2;2
44;DNF;2;2;2;2;26;29.5;19;19;50;2;2
45;110.2583;1;1;1;1;28;29.5;19;19;50;2;2
46;110.259;2;2;1;1;28;29.5;19;19;50;2;2
47;110.2685;1;1;2;2;28;29.5;19;19;50;2;2
48;110.2686;2;2;2;2;28;29.5;19;19;50;2;2
