Time [s]	ENG_Speed rpm	CHA_Speed kph	DRV_Pedal_Pos %	CHA_Acc_Long g	DRV_Brk_Pressure_F bar	GBX_Position -	CHA_Acc_Lat g	DRV_Steer_Angle DEG	CHA_Yaw_Rate DEG/s	TRK_Distance m	WHL_Speed_FL kph	WHL_Speed_FR kph	WHL_Speed_RL kph	WHL_Speed_RR kph	SUS_Load_PushRod_FL N	SUS_Load_PushRod_FR N	SUS_Load_PushRod_RL N	SUS_Load_PushRod_RR N	DRV_Brk_Pressure_R bar	ENG_Torque_Meas Nm	Time s	CHA_Handling g	SUS_Spring_Travel_FL mm	SUS_Spring_Travel_FR mm	SUS_Spring_Travel_RL mm	SUS_Spring_Travel_RR mm	AER_Balance_Meas %	CHA_RideHeight_FL mm	CHA_RideHeight_FR mm	CHA_RideHeight_RL mm	CHA_RideHeight_RR mm
0.00	9846.485287	117.067389	100.000000	0.477053	0.000000	2.000000	0.130913	7.949803	3.015384	0.000000	116.749718	116.928708	120.079373	120.079902	3341.790271	3432.520024	5117.144428	5313.019225	0.000000	0.000000	0.000000	-0.468611	0.193993	0.057634	-0.624823	-0.934711	35.012543	25.622798	25.522017	50.832827	50.904179
0.01	9859.640434	117.236818	100.000000	0.477434	0.000000	2.000000	-0.190014	-11.237525	1.712135	0.325918	116.929664	117.182489	120.231412	120.233470	3146.900038	3725.735020	5022.762617	5420.450306	0.000000	0.000000	0.010000	-0.661071	0.037617	0.185791	-0.743726	-0.875447	35.005543	25.827541	25.322488	51.011786	50.771296
0.02	9872.084909	117.405344	100.000000	0.478622	0.000000	2.000000	-0.136061	-9.377820	-0.479838	0.652305	117.193077	117.254362	120.397628	120.400027	3088.819451	3778.169637	4896.201559	5540.876005	0.000000	0.000000	0.020000	-0.581281	-0.213726	0.384369	-0.965015	-0.715075	35.002736	25.834290	25.329400	51.116123	50.697657
0.03	9883.969037	117.574793	100.000000	0.481159	0.000000	2.000000	-0.117416	-7.891904	-1.967738	0.979163	117.478440	117.362283	120.558564	120.560003	3356.206376	3485.450944	4922.187087	5471.843675	0.000000	0.000000	0.030000	-0.481652	-0.244393	0.392012	-1.113459	-0.602545	35.004889	25.703201	25.476293	51.093744	50.733233
0.04	9895.456003	117.744826	100.000000	0.481782	0.000000	2.000000	-0.122004	-6.877074	-2.908106	1.306494	117.728323	117.488488	120.723623	120.723811	3440.429611	3439.618857	5201.261873	5242.942500	0.000000	0.000000	0.040000	-0.393310	-0.141535	0.337126	-1.060542	-0.628621	35.002686	25.509276	25.680195	50.964830	50.865471
0.05	9906.793633	117.914798	100.000000	0.481384	0.000000	2.000000	-0.136858	-6.089827	-3.438346	1.634297	117.946781	117.630977	120.898771	120.897623	3604.706432	3221.401914	5445.947222	5057.631757	0.000000	0.000000	0.050000	-0.309727	0.058208	0.094072	-0.874922	-0.791445	34.991439	25.309808	25.891868	50.782425	51.059887
0.06	9918.299569	118.084763	100.000000	0.481336	0.000000	2.000000	-0.151852	-5.415029	-3.669429	1.962573	118.143720	117.787514	121.068815	121.066539	3748.239606	3115.835515	5614.556076	4847.840835	0.000000	0.000000	0.060000	-0.233876	0.345404	-0.233645	-0.625774	-1.085990	34.961931	25.148568	26.088297	50.589378	51.261597
0.07	9930.196562	118.254577	100.000000	0.480662	0.000000	2.000000	-0.161477	-4.816502	-3.684186	2.291320	118.323970	117.954876	121.229660	121.226706	3836.695328	3062.598354	5740.795816	4740.334704	0.000000	0.000000	0.070000	-0.171347	0.658932	-0.522823	-0.345073	-1.401945	34.888863	25.057704	26.260443	50.415572	51.422067
0.08	9942.573253	118.424060	100.000000	0.479484	0.000000	2.000000	-0.163949	-4.295670	-3.554091	2.620539	118.492195	118.129373	121.383207	121.380173	3817.962158	3041.944728	5796.301161	4713.627278	0.000000	0.000000	0.080000	-0.125230	0.877444	-0.755369	-0.067294	-1.695394	34.827324	25.040422	26.395301	50.292361	51.526221
0.09	9955.407332	118.593051	100.000000	0.477951	0.000000	2.000000	-0.159033	-3.814369	-3.337681	2.950228	118.652804	118.308170	121.534154	121.531505	3749.352914	3021.869551	5776.872196	4754.274532	0.000000	0.000000	0.090000	-0.092758	0.973746	-0.916979	0.172304	-1.931222	34.786766	25.076607	26.476445	50.236992	51.579485
